schoolName,schoolType,schoolGov,schoolAdresse,schoolPhoneNumber,schoolEmail
École privée Errayhane,Primaire/Privé,Sfax,"Route Mehdia km2 El bousten ,Sfax",74215264,None
El Académie,Primaire/Privé,Tunis,"1 rue taher el hadded ,Bardo",21599064,None
El Amed,Primaire/Privé,Monastir,"Place Abderrahmen Dahmeni ,Béni Hassan",31545000,None
Elfaouz,Primaire/Privé,Kasserine,"Rue sidi younes elssouk ,Feriana",97043032,None
Ichrak School,Primaire/Privé,Sfax,"Route Kaid Mhamed km 2.5 ,Sfax",23060006/55845245/44949249, ichrakschool@gmail.com 
IHE Sousse,Supérieur/Privé,Sousse,"Route Hzamia Sahloul 3 - BP n° 40 ,Sousse",73368351/73368358, ihecsousse@ihecso.rnu.tn 
Institution ESPOIRS,Primaire/Privé,Ariana,"Lot 124 ZI Chotrana2, Ariana Essoghra ,Ariana",55435139, espoirs.ens@gmail.com 
kounouz all ghad,Primaire/Privé,Tunis,"Rue de l'environement n 119 sidi hassine sedjoumi ,Tunis",25300071,None
la créativité,Primaire/Privé,Monastir,"Sidi Ameur Route ,Ouerdanine",99062230/99062234, ecoledelacreatvite@gmail.com 
Lamis School Mourouj,Primaire/Privé,Ben Arous,"Rue de Gaza ,Mourouj",50986912, lamischool@gmail.com 
Les Trois Colombes,Primaire/Privé,Ben Arous,"Route Inetercommunale par la route Z4 ,Megrine",71297277/95654422, lestrois_colombes@yahoo.fr 
Mongil School,Primaire/Privé,Ben Arous,"Rue du pakistan Mongil, Rades ,Ben Arous",71447911/71440602/20273768, contact@mongilschool.com 
Salima School - Ezzahra (SLS),Primaire/Privé,Ben Arous,"Cité El Habib Ezzahra ,Ben Arous",20497841, contact@sls-schools.tn 
A.Q Chebbi,Primaire/Privé,Kairouan,"rue MD NEGRA ---SAHABI 4 ,Kairouan",77273166,None
Abbassi Private School (APS),Primaire/Privé,Ariana,"11 rue des muriers Riadh el Andalous ,Ariana",71820820/25252578/99550990,None
ABC,Primaire/Privé,Kairouan,"Cité Al Balwi ,Kairouan",26238353/25691454,None
Abc School,Primaire/Privé,Mahdia,"avenue Taher Sfar juste devant café Asfour ,Mahdia",22076222, chjihene@hotmail.fr 
Abd Al-Rahman Ibn Khaldoun,Primaire/Privé,Médenine,"Rue Sidi Bechir Zitouni ,Jerba Houmet Souk",54061872, contact@epparik-djerba.com 
Academia,Primaire/Privé,Monastir,"Rue Mohamed Salah Sayadi ,Monastir",98742326, contact@site.com 
Académie Averroès,Primaire/Privé,Bizerte,"Académie Averroès Ras Jebel ,Ras Jebel",97211630,None
Académie de Carthage,Primaire/Privé,Sidi Bouzid,"Avenue 14 janvier ,Meknassi",54373200,None
Académie de l'Excellence,Primaire/Privé,Nabeul,"Rue de Jordanie ,Kelibia",72275560, contact@excellencekelibia.com 
Académie De L'excellence,Primaire/Privé,Ariana,"1 Rue Tarak Ibn Zied Impasse Sayda El Menzah 5 ,Ariana",70741572, info@kademia.tn 
Académie DES Palmeraies,Primaire/Privé,Tunis,"Rue khaled Ibn walid, Ain Zaghouan Nord ,Tunis",55786107, lespalmeraies1@gmail.com 
Académie Du Lac,Primaire/Privé,Tunis,"5, Rue Wall Street, Les Berges du Lac 2 ,Tunis",29102400, contact@academiedulac.com 
Académie Ibn Al Nafis,Primaire/Privé,Sidi Bouzid,"Avenue Mohammed 5 ,Sidi Bouzid",92979729,None
Académie le Savoir : Ecole Privée Chebbi,Primaire/Privé,Sousse,"Rue Zakaria Ahmed, Sahloul ,Sousse",97135406, academielesavoir@gmail.com 
Access School,Primaire/Privé,Gafsa,"En face du lycée mixte ,Gafsa Nord",99550125, ifa_gafsa@yahoo.fr 
Achref School,Primaire/Privé,Nabeul,"Rue 14 janvier ,Slimane",24028058,None
Adam School,Primaire/Privé,Tunis,"Tunis ,Sidi Hsine",23144100,None
AFCA INFORMATIKA,Supérieur/Privé,Nabeul,"Av. de la dignité 1er étage Korba Rte de Tunis (auprès de la fontaine) ,Korba",52806804/72388473, afcaformations@gmail.com 
Afif School,Primaire/Privé,Ben Arous,"Rue Ahmed Chaouki ,Ben Arous",71313308/98223677,None
Ajial,Primaire/Privé,Siliana,"Rue Abed Rabou, Krib ,Siliana",97509455,None
AJIEL Al Manara,Primaire/Privé,Béja,"Lotissement Azzaharat route de Beja ,Mejez El Bab",36455645/22521812, ajielalmanara@gmail.com 
Al Afek,Secondaire/Public,Tunis,"R. 62104 Cité Ibn Khaldoun ,Tunis",71923611,None
AL ANDALUS,Secondaire/Privé,Sfax,"Route de l'Aéroport km 4 ,Sfax",28153577, lyceealandalus@gmail.com 
Al Andalus,Primaire/Privé,Ben Arous,"16 Rue 20 mars Mourouj 5 ,Ben Arous",98175466/92324131,None
Al Anwar,Primaire/Privé,Béja,"En face de l'entrepôt municipal rue Essanabel Goubellat ,Béja",78585032/26516339,None
Al Bayan,Primaire/Privé,Tunis,"Avenue Mongi Slim ,Bardo",98946651/71515694/24651277,None
AL Emtiez,Primaire/Privé,Ariana,"Ezzahrouni ,Ariana",22562536/29217911/26273696,None
Al Faouez,Primaire/Privé,Bizerte,"Rue Habib Bourguiba ,Bizerte",72435911,None
Al Fawez,Primaire/Privé,Médenine,"Route Gabes ,Médenine",75600803, ecolealfawez@gmail.com 
Al Ferdaws,Primaire/Privé,Ben Arous,"Rue Ifrikia ,Mourouj 3 ,Ben Arous",31100661,None
Al Feteh Primary School,Primaire/Privé,Bizerte,"Rue l'indépendance ,Menzel Bourguiba",72520429/58753460, Alfateh.primaryschool1@gmail.com 
Al Hayet,Primaire/Privé,Nabeul,"Avenu 3 Aout ,Hammamet",72266010/97358853, ecolealhayet@gmail.com 
Al Inaya - La Providence,Primaire/Privé,Sidi Bouzid,"Cité des professeurs, Rue Al souisse ,Sidi Bouzid Est",97946412,None
Al Jil Eraed,Primaire/Privé,Bizerte,"Rue Farhat Hachad ,El Alia",20070148,None
Al Majed,Primaire/Privé,Bizerte,"Avenue La Liberté, Rue 14 janvier ,Ras Jebel",72449239,None
Al Manhal,Secondaire/Privé,Tunis,"56, Angle rue de Nabeul et Avenue 02 Mars 1934 ,Bardo",25846950, collegealmanhal@yahoo.fr 
Al Manhal School,Primaire/Privé,Nabeul,"Cité Soliman Riadh- Borj Cedria ,Nabeul",79411091/21510672/54396059/25191886, almanhal408@gmail.com 
Al Marraya,Primaire/Privé,Manouba,"Oued Elil ,Manouba",53393965, el.maraya@yahoo.fr 
Al Mawada,Primaire/Privé,Sfax,"Route Menzel Chaker Km 6.5, Rue Al Riadh ,Sfax sud",74654357,None
Al Messaad,Primaire/Privé,Gafsa,"Cité Ennour ,Gafsa Sud",76200795,None
Al Michaal,Primaire/Privé,Bizerte,"Rue Al Nadhour Oued El Marrej ,Bizerte Nord",97878841/96517108/52878845,None
Al Moustakbel,Primaire/Privé,Sfax,"Route de l'Aéroport Km 3 ,Sfax Ville",74452620,None
Al Ofok,Primaire/Privé,Gafsa,"Gafsa ,Sidi Aich",90484113,None
Al Oswa Hassana - The Leader,Primaire/Privé,Nabeul,"Rue Monji Slim ,Menzel Bouzelfa",26625005/21405208,None
Al Oula,Secondaire/Privé,Béja,"Medjez el bab ,Béja",94861703, s_benmoussa@yahoo.fr 
Al Oulaa,Primaire/Privé,Gafsa,"Gafsa Governorate ,El Mdhilla",25254606, schoolaloula@gmail.com 
Al Yamama,Primaire/Privé,Sfax,"Route de Tunis km 3 à côté de ""Dar Ettabib"" ,Sfax",74236082/24325324, alyamamaecole@gmail.com 
Al-Andalusia Academy,Primaire/Privé,Nabeul,"Avenue Mohammed 5 Barraket Essahel ,Hammamet",72226444, alandalusiaacademy@gmail.com 
Al-Khawarizmi,Primaire/Privé,Kairouan,"Avenue Mongi Slim, Cité Ennasr ,Kairouan",95650240,None
Alain Savary,Primaire/Privé,Ariana,"Résidence le fatimide ,Soukra",94222560/98301133,None
ALBERT CAMUS,Primaire/Privé,Ben Arous,"2 Rue Bahja Nouvelle Medina ,Ben Arous",23510810, ayecheamira@gmail.com 
aldawlab,Primaire/Privé,Kasserine,"avenue 14 janvier ,Kasserine",52244850,None
Alfawz International School,Secondaire/Privé,Ariana,"Soukra, Choutrana 3 ,Ariana",52986200/52986200/71869480, elfawzinternationalschool@gmail.com 
Alimtiez - The Excellence School,Primaire/Privé,Bizerte,"Boulevard L'environnement - El Alia ,Bizerte",58364040, alimtiez@gmail.com 
Alkadissia Private School,Secondaire/Privé,Gabès,"Rue Aboulkacem Echabbi à côté de Carrefour Gabes ,Gabès",22034314, alquadissiaprive@yahoo.fr 
Alkhawarizmi School Zeramdine,Primaire/Privé,Monastir,"Avenue Habib Bourguiba ,Zéramdine",52116007, souhaira2018@gmail.com 
Alkindus,Primaire/Privé,Bizerte,"Rue El Imam Malek Cité Ain Mariem ,Bizerte",53486639, sameh.alkindus@gmail.com 
Alkindus,Primaire/Privé,Bizerte,"Route de la Corniche- Belle Plage ,Bizerte Nord",67245900/98486639/53486639, contact@ecolealkindus.net 
Allemni School,Primaire/Privé,Zaghouan,"Rue Bourguiba, Zriba Hammem ,Zaghouan",72677462,None
Almanehel,Primaire/Privé,Sfax,"Route soukra km 1.5 impasse ammous ,Sfax",50663462, info@almanehel.tn 
Almarifa,Primaire/Privé,Kairouan,"Cité El Manar ,Kairouan",28333380/77270020, almarifaecole@gmail.com 
AlMaweheb,Primaire/Privé,Tunis,"18 RUE FRATERNITE KHAZNADAR ,Bardo",71502745/28057209, almaweheb@gmail.com 
AlMaweheb,Primaire/Privé,Tunis,"Rue de la Frraternité Khaznadar ,Bardo",71502745/28057209, almaweheb@gmail.com 
Alyssa,Primaire/Privé,Médenine,"Djerba ,Mednine Sud",75623296/28594008,None
Alyssa,Primaire/Privé,Sousse,"Rue Abdelhamid El Kadhi, 4070 Sousse ,Sousse Ville",73291850/73261825,None
Alyssa Ecole,Primaire/Privé,Zaghouan,"Cité Menzah ,Zaghouan",72683024/41914438,None
AMAL junior,Primaire/Privé,Sfax,"Route Teniour Km3 Rue Abdelaziz Thaalbi ,Sfax Ville",74264725/58421800/27406800, ecolepriveeamal@gmail.com 
AMANA School,Primaire/Privé,Gabès,"Derrière les stades Arena ,Gabès",75290400, amana.school@yahoo.fr 
American Cooperative School of Tunis - ACST,Primaire/Privé,Tunis,"BP 150 Cite Taeib M'hiri Laouina ,Tunis",71760905, school@acst.net 
American University in North of Africa AUNA,Supérieur/Privé,Tunis,"17 Rue IBN RACHIQ ,Tunis",71894101/71894244/71894246/29219864, aunaadmission@auna.com.tn 
Amilcar,Primaire/Privé,Bizerte,"4 Rue Tayeb Mhiri ,Menzel Bourguiba",72472258, ecole-amilcar@hotmail.com 
AMILCAR,Primaire/Privé,Tunis,"05, Rue de l'indépendance ,La Marsa",71748691, ecole@etablissement-amilcar.com 
Amilcar,Primaire/Privé,Sousse,"Messadine ,Sousse",26512280,None
Amilcar,Primaire/Privé,Béja,"Béja ,Béja",78443921, contact@amilcar.education 
Amin School,Primaire/Privé,Kasserine,"avenue l'environnement bouzguem ,Kasserine",53378055,None
Amine School,Primaire/Privé,Sidi Bouzid,"En face de l'école Ali Ben Sadok ,Sidi Bouzid",99879370,None
Anas School,Primaire/Privé,Ben Arous,"Mornag ,Ben Arous",50890505/79352212, anasschool2015@gmail.com 
Anouar École privée,Primaire/Privé,Sfax,"Route Menzel chaker Km 1,5 ,Sfax Ville",74460604, anouarep1997@gmail.com 
ANOUS,Primaire/Privé,Tunis,"2BIS RUE BACH HAMBA ,Bardo",55778855,None
Aouladi,Primaire/Privé,Ben Arous,"5 Avenue de La République ,Megrine",71426545/71427425,None
Apollo School,Secondaire/Privé,Ben Arous,"El Oulija ,Radès",50427600,None
APS Avicenne Private School,Secondaire/Privé,Gafsa,"Rue Ennasser ,Gafsa",55787826,None
ARC En CIEL,Primaire/Privé,Siliana,"En face de l'Assurance MAE ,Siliana",98678340, rania.mhamdi@gmail.com 
ARC EN CIEL,Primaire/Privé,Siliana,"Cité Hachad ,Makther",98678340,None
ARCHIMED ACADEMY,Primaire/Privé,Tunis,"15, Rue El Bachia Ben Mouaouia El Manar 1 ,Tunis",22524061, academie.archimed@gmail.com 
Archimede School,Primaire/Privé,Ben Arous,"46 Rue de l'école, Sidi Rezig ,Megrine",55907489,None
Ariane School,Primaire/Privé,Ariana,"12 Bis rue belhassine jrad ,Ariana",71702362,None
Asad Ibn Alfourat,Primaire/Privé,Kairouan,"27 Rue Ibn Rabib Cité Sidi Saad ,Kairouan",77227627, ecoleassadibnalfourat@gmail.com 
Asdrubal School,Primaire/Privé,Manouba,"Rue Ibn Abi Dhief,  juste en face du lycée Ibn Abi Dhief ,Manouba",95321155, asdrubal.school@gmail.com 
Averroes,Primaire/Privé,Monastir,"Avenue Hedi Nouira ,Monastir",73504340/99981450, ecole.averroes@live.fr 
Averroes School,Primaire/Privé,Nabeul,"Rue Zayd Ibn Haritha ,Grombalia",72256324, averroes.school@gmail.com 
Averroes School,Primaire/Privé,Gafsa,"Al-Shabab Junction, en face de l'entrepôt municipal, à côté de la banque commerciale ,Gafsa",53832835/23561543,None
