cabinetName,lawyerName,phoneNumber,address,gov
Cabinet Maître Mouna Meddeb,Maître Mouna Meddeb,98300380,None,None
Al Nour Avocats,Maitre Dora Jelidi Bouchamaoui et Maitre Souad Bouker,28614616,"sbah Jarbou - El Manar 3 -2092 , Tunis",Tunis
Alatrech,Dr.Brahim Latrech,24292700,"Lafayette, Center 1002 , Tunis",Tunis
Avocat à La Cour Maître Dkhil Walid,Maître Dkhil Walid,98403408," Tahar Sfar,En face du Palais de Justice, Sousse",Sousse
Avocat Maitre Mellouli Mohamed,Mellouli Mohamed,20855566,"r Hugo immeuble Mahjoub sousse 4000 , Sousse",Sousse
Avocate Tunisienne,None,20286612,None,None
Bchini\ Avocat Conseil,Maitre Amel Bchini,71320221," de l'Argentine 1002 Tunis Belvédère, Tunis",Tunis
Ben Yedder et Associés,Me Nadhir Ben Yedder,71353293,"ib Thameur, Tunis",Tunis
Bettaieb Law Firm-Cabinet d'avocats tunisie,None,72222178,None,None
Bureau d'Avocat Maitre Mlika,Maitre Majed Mlika,99000450,"r Hugo, Immeuble Mahjoub, 4 eme étage bureau n D 4, Sousse",Sousse
Cabinet Avocat Maître Yassine Yamoun,Maître Yassine Yamoun,55888767,"di Abesse (En face de CNAM) Houmet Souk , Djerba",Djerba
Cabinet Ben Ameur,None,20224599," Joséphine 4000, Sousse",Sousse
Cabinet d'avocat Hassen Ouercheffani,98431309,75691700,"bn khaldoun. Immeuble Jawzed 2ème étage porte 3  , 4170 Zarzis",Zarzis
Cabinet d'avocat Maitre Anis Besbes,None,73464183/20241644,"imeche, Imm. Echraka Escalier ""D"" 2ème étage, en face du restaurant Elhambra., Monastir",Monastir
Cabinet d'avocat maître Ouachani Mahfoudh,None,75732762,"uchaddakh  B, 25 rue Amilcar, Midoun, 4116, Djerba",Djerba
Cabinet D'Avocat Rokbani,Me Rokbani Mohamed,54571819,"tant suprême , Monastir",Monastir
Cabinet D'avocate Baghdadi,Samah Baghdadi,23211246,"nvier, zaouiet, Sousse",Sousse
Cabinet d'avocats Ben Hamouda,Me Olfa Ben Hamouda,97400196,"stapha M'Barek, Tunis",Tunis
Cabinet d'avocats- Maître Walid Dkhil,Maître Walid Dkhil,25403408," Tahar Sfar, En face du Palais de Justice, Sousse",Sousse
Cabinet études Maitre Ferjani kamilia,None,21601728," Koweït, tour bleuétage 3 bureau n4, Hammamet",Hammamet
Cabinet Kechrid,None,24239250," 18 Janvier 1952, Tunis",Tunis
Cabinet Maître Yosr hammami,Maître Yosr hammami,23433268,"cha, Bloc ""A"" 6 eme étage, ( B.6.28)Immeuble Chreka , esc ""D"", Monastir",Monastir
Cabinet Maître Belhadj Wajdi,None,97452687," Joséphine-Imm Torcadéro, Sousse",Sousse
Cabinet Maitre Ben Agha Mustapha,Ben Agha Mustapha,23063818," ben youssef Midoun, Midoun",Midoun
Cabinet Maitre Ben Youssef Idriss,None,75653333," thameur houmt souk, Djerba",Djerba
Cabinet Maitre Bensalha Med Wadiee,None,72346616,"e de l'environnement,Menzel Temime , Nabeul",Nabeul
Cabinet Maitre Imen Nasri,Maitre Imen Nasri,95239804,"Espagne, Tunis",Tunis
cabinet maitre kais rouis,maitre kais rouis,75653333,"ib thameur houmt souk, Djerba",Djerba
Cabinet Maitre Mallah Chérif,None,24015942,"Bouakazine 4180 Houmt Souk, Djerba",Djerba
Cabinet Maitre Meddeb Avocate,Maitre Meddeb,98300380,None,None
Cabinet Trabelsi d'avocat,Raja Trabelsi,20374832,"bib Bourguiba, centre phénicia, bloc A, 2ème étage, num 9, Marsa Résidence, 2078 , La Marsa",La Marsa
Cabinet Zairi Moussa Consulting,Maitre Zairi,97449616,"har Sfar, Sousse",Sousse
CMD Lawyer,Maitre Abdessattar Dhaouadi,52222856," de carthage, Tunis",Tunis
Ellafi Lawyers,Maitre Adel Ellafi,71245902,"id Darwiche, Lafayette, Tunis",Tunis
Giambrole Law Tunisia,None,71321887,"Russie 1000 , Tunis",Tunis
Giambrole Sarl,None,71321887,"Russie 1000 , Tunis",Tunis
Hamza Wajdi,None,22238465,"ieb Mhiri immeuble bouricha 1er étage , Sfax",Sfax
Maître Ferid Dhhir,Maître Ferid Dhhir,75650205,", Bureau N°2Rue Sidi AbbesHoumet Essouk, Djerba",Djerba
Maître Meriem Ghariani Ben Mrad,None,75654845," de la municipalité Houmet essouk Djerba, Djerba",Djerba
Maitre Ben Mbarek Fatma,Ben Mbarek Fatma,22619446,"ue Habib Bourguiba, 8050 , Hammamet",Hammamet
Maître Hizem Amir,Amir Hizem,53257303,"uin, Monastir",Monastir
Maître Jamel Jebahi,Maître Jamel Jebahi,71321303,"es de Gaulle n°11, 1er étage,  1000 , Tunis",Tunis
Maitre Jaziri Badie,None,26842893,"ue Jugurtha, Mutuelleville, 1082, Tunis",Tunis
Maitre Jelassi Saida,Maitre Jelassi Saida,97686091," Malek, Centre Bureau C2/2, Boulevard de la Terre, Centre Urbain, Tunis",Tunis
Maitre Triki Mohamed,None,71794131," des Etats Unis d'Amérique le Belvédère , Tunis",Tunis
Me Olfa Jaibi,Me Olfa Jaibi,98770098,"en Khaldoun, Menzah4 (en face de la coupole et du stade), Tunis",Tunis
Primarec,Mr Ahmed Naoui,71854554," de Gammarth, Espace Perle Bleue B2.9, La Marsa, Tunis",Tunis
Rachid Gaied,Rachid Gaied,52456545,"e Bernard Street1002 Belvedere, Tunis",Tunis
Sonia Salaani,Sonia Salaani,21649792,"hamed Maarouf, Immeuble Le gouglou, Sousse",Sousse
Tunisian Legal Protection Plan,Me Largueche,20843134,"Epernay 1000, Tunis",Tunis
Zaafrani&partners,None,71285819,"Royaume d'arabie saoudite bureau numéro 4 étage 2 Lafayette, Tunis",Tunis
